date,code,open,close,high,low,vol,amount,up_count,down_count,date_stamp,volume
2019-03-01,000300,3699.22,3749.71,3749.71,3668.77,2047110.0,235620630528.0,234,61,1551369600.0,2047110.0
2019-03-04,000300,3783.04,3794.1,3886.58,3764.78,3234901.0,376397299712.0,261,32,1551628800.0,3234901.0
2019-03-05,000300,3785.38,3816.01,3816.16,3770.79,2308531.0,261464129536.0,204,87,1551715200.0,2308531.0
2019-03-06,000300,3822.86,3848.09,3855.16,3787.52,3180773.0,331155603456.0,204,85,1551801600.0,3180773.0
2019-03-07,000300,3841.15,3808.85,3845.18,3778.8,3298465.0,359339163648.0,101,196,1551888000.0,3298465.0
2019-03-08,000300,3721.4,3657.58,3774.54,3656.19,3179900.0,349296689152.0,20,280,1551974400.0,3179900.0
2019-03-11,000300,3663.98,3729.95,3731.91,3650.81,2309128.0,268718456832.0,282,16,1552233600.0,2309128.0
2019-03-12,000300,3758.32,3755.35,3804.72,3723.68,2749263.0,325180620800.0,199,88,1552320000.0,2749263.0
2019-03-13,000300,3758.71,3724.19,3763.09,3708.81,2336822.0,286171037696.0,70,222,1552406400.0,2336822.0
2019-03-14,000300,3710.29,3698.49,3747.82,3673.85,1908172.0,231820148736.0,68,227,1552492800.0,1908172.0
2019-03-15,000300,3713.94,3745.01,3782.24,3713.94,1751745.0,224194363392.0,245,49,1552579200.0,1751745.0
2019-03-18,000300,3753.64,3851.75,3851.75,3733.68,2169280.0,276473446400.0,287,12,1552838400.0,2169280.0
2019-03-19,000300,3856.59,3833.96,3868.34,3815.22,1817271.0,224096894976.0,110,180,1552924800.0,1817271.0
2019-03-20,000300,3825.34,3835.44,3855.15,3790.51,1756321.0,215407001600.0,108,184,1553011200.0,1756321.0
2019-03-21,000300,3840.28,3836.89,3864.07,3823.47,1963103.0,231993442304.0,156,132,1553097600.0,1963103.0
2019-03-22,000300,3838.13,3833.8,3845.58,3786.59,1713569.0,198518390784.0,108,179,1553184000.0,1713569.0
2019-03-25,000300,3776.44,3742.83,3807.18,3741.61,1985863.0,223396560896.0,43,253,1553443200.0,1985863.0
2019-03-26,000300,3766.53,3700.44,3770.84,3687.55,1730465.0,196547805184.0,58,238,1553529600.0,1730465.0
2019-03-27,000300,3724.41,3743.39,3750.26,3703.45,1387584.0,177507532800.0,198,91,1553616000.0,1387584.0
2019-03-28,000300,3731.06,3728.4,3755.72,3710.08,1332721.0,172604391424.0,71,221,1553702400.0,1332721.0
2019-03-29,000300,3739.77,3872.34,3876.38,3739.77,2156391.0,283022295040.0,286,12,1553788800.0,2156391.0
2019-04-01,000300,3901.17,3973.93,3982.91,3901.17,2713827.0,340799389696.0,288,8,1554048000.0,2713827.0
2019-04-02,000300,3986.34,3971.29,3988.1,3956.51,2260003.0,281892061184.0,109,181,1554134400.0,2260003.0
2019-04-03,000300,3947.87,4022.16,4026.5,3939.78,2319173.0,284826501120.0,226,63,1554220800.0,2319173.0
2019-04-04,000300,4039.74,4062.23,4072.11,4021.71,2604109.0,313539428352.0,174,116,1554307200.0,2604109.0
2019-04-08,000300,4097.1,4057.23,4122.6,4017.49,2675055.0,324670455808.0,114,180,1554652800.0,2675055.0
2019-04-09,000300,4063.81,4075.43,4084.24,4038.28,1829568.0,243187908608.0,135,155,1554739200.0,1829568.0
2019-04-10,000300,4062.44,4085.85,4115.38,4035.47,1946876.0,278282010624.0,100,192,1554825600.0,1946876.0
2019-04-11,000300,4083.46,3997.58,4097.13,3990.24,1690496.0,236259164160.0,26,265,1554912000.0,1690496.0
2019-04-12,000300,3986.78,3988.62,4006.93,3961.46,1358621.0,178795937792.0,146,136,1554998400.0,1358621.0
2019-04-15,000300,4056.49,3975.52,4085.39,3974.23,1826455.0,236298715136.0,71,217,1555257600.0,1826455.0
2019-04-16,000300,3958.1,4085.79,4085.79,3943.49,2020419.0,250569211904.0,284,14,1555344000.0,2020419.0
